="PPN";"Titre";"Editions";="Issn";"Acces en ligne";"Supplement(s) : ";"Est le supplement de : ";"Publie avec : ";"Suite de : ";"Succede apres scission a : ";"Remplace : ";"Remplace partiellement : ";"Absorbe : ";"Absorbe partiellement : ";"Fusion de : ";"Suite partielle de : ";"Devient : ";"Devient partiellement : ";"Remplace par : ";"Remplace partiellement par : ";"Absorbe par : ";"Absorbe partiellement par : ";"ScindeEn";"Fusionne avec";"Redevient : ";"Autre edition sur le meme support : ";"Autre edition sur un autre support : ";"Traduit sous le titre : ";"Traduit de : ";"Reproduction de : ";"Reproduit comme : ";"Titre cle : ";"Titre(s) abrege(s) : ";"Titre parallele : ";"Titre de couv. : ";"PublieEn";"Periodicite";="Dewey : ";"Source(s) de catalogage : ";"Etat de collection";"Lacunes";"Cote";"PCP";"Note sur l exemplaire"
="058804382";"49/3";"Dijon : Les Presses du reel, 2001?";="1623-3913";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"49/3(Dijon)";"49 3(Dijon)";"";"";"2001-     , publie en francais, en France";"Semestriel";="700";"Abes * ISSN";"no. 1 (2001) ; no. 1 (2002) ; no. 2 (2002)-....";"";"";"";""
="083254900";"9 de [coeur] : revue de creation & d'initiation / [dir. publ. Jacques Binsztok]";"Paris : Ed. du Seuil, 2004-2005";="1769-8596";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 de coeur";"";"";"";"2004- 2005, publie en francais, en France";"Trimestriel";="700.5 * 704.054";"Abes * BNF * ISSN France";"no. 1 (sep-2004)-....";"";"";"";""
="039881962";"AMC Le Moniteur architecture";"Paris : Publications du moniteur, 1989-1999";="0998-4194";"";"Le Petit journal de la cite, 2106-8399. Le moniteur architecture. Hors-serie. ";"";"";"AMC. Architecture mouvement continuite, 0336-1675";"";"";"";"";"";"";"";"Amc (Imprime), 2779-5039";"";"";"";"";"";"";"";"";"";"AMC (En ligne), 2649-9606";"";"";"";"";"Le Moniteur architecture(Paris)";"Monit. archit.(Paris)";"";"";"1989- 1999, publie en francais, en France";"Mensuel";="711 * 712 * 720";"Abes * BNF * ISSN France";"no. 109 (2000)-....";"";"";"";""
="076063984";"Archistorm : l'architecture, l'art... de a a z / dir. publ. Marc Sautereau";"Avrille : Archistorm, 2003-";="1763-6361";"";"ArchiSTORM. Numero special, 2265-5379. ArchiSTORM. Hors-serie, 2114-2076. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Archistorm(Avrille)";"";"";"";"2003- 9999, publie en francais, en France";"Bimestriel";="700 * 712 * 720";"Abes * ISSN";"no. 2 (2003)-....";"";"";"";""
="03946993X";"Architecture interieure, CREE";"Paris : Societe d'edition et de presse, 1977-2015";="0294-8567";"";"";"";"";"";"";"";"";"";"";"Architecture interieure, 0151-3672. CREE. Creations et recherches esthetiques europeennes, 0591-048X. ";"";"Architectures CREE, 2492-2137";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Architecture interieure, CREE";"";"";"";"1977- 2015, publie en francais, en France";"Bimestriel";="720 * 728";"Abes * ISSN";"no. 218 (1987) ; no. 230 (1989) ; no. 237 (1990) ; no. 239 (1990) ; no. 301 (2001) - no. 312  (2004)";"";"";"";""
="077555783";"ARCO, arte contemporaneo";"Madrid : Asociacion Amigos de Arco, 2003-";="1696-6600";"";"";"";"";"Arconoticias (Madrid), 1136-6907";"";"";"";"";"";"";"";"Art & Co (Madrid), 1888-3729";"";"";"";"";"";"";"Pour donner :	ARCO, contemporary art, 1696-6619. ";"";"";"";"ARCO, contemporary art, 1696-6619";"";"";"";"ARCO, arte contemporaneo";"ARCO arte contemp.";"";"";"2003- 2007, publie en espagnol, en Espagne";"Trimestriel";="709.04";"Abes * ISSN";"no. 28 (2003) - no. 33  (2004)";"";"";"";""
="036329584";"Arconoticias";"Madrid : IFEMA/Amigos, 1994-2003";="1136-6907";"";"";"";"";"";"";"";"";"";"";"";"";"ARCO, arte contemporaneo, 1696-6600";"";"";"";"";"";"";"";"";"";"";"Arconoticias (Madrid. English edition), 1696-6910";"";"";"";"Arconoticias(Madrid)";"Arconoticias(Madr.)";"";"";"1994- 2003, publie en espagnol, en Espagne";"Trimestriel";="700 * 709.04";"Abes * ISSN";"no. 8 (1997) ; no. 10 (1998) - no. 26  (2002)";"";"";"";""
="039126625";"Art : das Kunstmagazin";"Hamburg : Gruner und Jahr, 1979-";="0173-2781";"";"";"";"";"";"";"";"";"Artis (Bern. 1966), 0004-3842";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art (Hamburg. Online), 2943-7857";"";"";"";"";"Art(Hamburg)";"Art(Hambg.)";"";"";"1979- 9999, publie en allemand, en Allemagne";"Mensuel";="700 * 710 * 720";"Abes * ISSN";"no. 6 (1980) - no. 3  (1996) ; no. 8 (1996) - no. 8  (1997) ; no. 10 (1997)-....";"";"";"";""
="048751820";"Art actuel";"Paris : VM ed, 1998-2016";="1293-1381";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art actuel(Paris)";"";"";"";"1998- 2016, publie en francais, en France";"Bimestriel";="709.04";"Abes * ISSN";"no. 2 (1999) ; no. 8 (2000) - no. 9  (2000) ; no. 11 (2000) - no. 12  (2001) ; no. 18 (2002) - no. 19  (2002) ; no. 21 (2002) - no. 22  (2002) ; no. 24 (2003) ; no. 26 (2003) ; no. 28 (2003)";"";"";"";""
="048905208";"ARTbibliographies modern";"Santa Barbara, Calif : ABC-Clio, ©1999-Ann Arbor, Michigan, USA : ProQuest LLC, 1999-";="1528-3461";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Artbibliographies modern, 0300-466XArtbibliographies modern on disc, 1076-5468Artbibliographies modern on disc (expanded ed.), 1088-8624";"";"";"";"";"ARTbibliographies modern(Online)";"ARTbibliogr. mod.(Online)";"";"";"1999- 9999, publie en anglais, aux Etats-Unis";"Mensuel";="700";"Abes * ISSN";"(2004)-....";"";"";"";""
